Title,Date Written,Rating,Current/Former,Job Title,Location,Recommendation?,Outlook,Main Text,Pros,Cons
Good work environment but low salary,"May 24, 2021 ",4.0,Former, Attorney,,Recommend,Business Outlook,Share,"Work and life balance, respectful workplace",Salary & compensation unsatisfactory compared to others
bad work life balance,"Jul 14, 2021 ",2.0,Former, Senior Consultant,,Recommend,Business Outlook,Share,Different types of work and projects,Bad work life balance at work at all levels
No work-life balance - Steep Learning Curve,"Jul 11, 2021 ",3.0,Current, Transfer Pricing Manager,,Recommend,Business Outlook,Share,Be prepared to enjoy a steep Learning Curve.,There is no work-life balance at all.
Great place to launch career!,"May 17, 2021 ",5.0,Current, Anonymous Employee,,Recommend,Business Outlook,Share,Smart colleagues and challenging problems,Hours can be long and clients are often demanding
Average,"Jul 18, 2021 ",3.0,Former, Anonymous Employee,,Recommend,Business Outlook,Share,Brand name and global recognition,Bad company culture and preferential treatment
PwC FDD,"May 28, 2021 ",5.0,Current, Financial Due Diligence Senior Associate,,Recommend,Business Outlook,Share,The compensation packages are competetive.,The hours can be very aggressive.
Good career start,"May 28, 2021 ",4.0,Former, Assurance Associate,,Recommend,Business Outlook,Share,Good team and good training,Long working hours and travel
"Good company, long hours","May 13, 2021 ",4.0,Former, Experienced Associate,,Recommend,Business Outlook,Share,People were great to work with,"Long hours, pay ended up falling under the new $15/min wage initiative during busy season when calculated on hourly basis"
Senior Tax Associate - SALT,"May 10, 2021 ",5.0,Current, Senior Tax Associate ,,Recommend,Business Outlook,Share,Great group. People are nice. Opportunity to move up with a visible structure.,"Long hours. Pay is not great, but better than a lot of other jobs."
Great place to work,"May 24, 2021 ",5.0,Current, Administrative,,Recommend,Business Outlook,Share,Committed to staff and encourages diversity and inclusion.,"None, great place to work"
State and Local Tax Senior Associate,"May 23, 2021 ",4.0,Current, State and Local Tax Senior Associate,,Recommend,Business Outlook,Share,Good promotion opportunities for those who seek it,Busy seasons can become brutal
PwC Core Assurance,"Jul 16, 2021 ",3.0,Current, Experienced Audit Associate,,Recommend,Business Outlook,Share,"Good benefits, a lot of learning","Long hours, stressful work environment"
Great,"May 19, 2021 ",5.0,Current, Senior Analyst,,Recommend,Business Outlook,Share,Good company culture for Big4,WLB initiatives tend not to truly be implemented or be practical
Great start to your career,"May 13, 2021 ",4.0,Current, Anonymous Employee,,Recommend,Business Outlook,Share,Love the people and work culture. Great exposure to many different industries.,Busy season hours are very difficult. Salaries for associates are not competitive.
Great Company,"May 27, 2021 ",5.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,-Great benefits -Will learn a lot,-Busy season is rough but expected
Fraud Investigator,"May 24, 2021 ",4.0,Former, Fraud Investigator,,Recommend,Business Outlook,Share,"Different clients, great experience and lot of learning",too much work sometimes can be stressful
:-),"May 23, 2021 ",5.0,Current, Director,,Recommend,Business Outlook,Share,Work life balance. Health and well being.,"Partnership cultural. Many lifelong PwCers at firm, especially internally."
Great place to start your career!,"May 20, 2021 ",4.0,Current, Management Consultant,,Recommend,Business Outlook,Share,"Plenty of opportunities for learning and development, dynamic work environment",Longer than usual working hours
Great Growth,"Jul 13, 2021 ",3.0,Current, Senior Associate,,Recommend,Business Outlook,Share,Great opportunity to grow and gain experience,Poor staffing and a lot of staff leaving
Senior Accountant,"Jul 15, 2021 ",3.0,Former, Senior Accountant,,Recommend,Business Outlook,Share,Great learning and experience for resume,Hours were crazy during busy season
N/A,"May 26, 2021 ",5.0,Current, Senior Associate,,Recommend,Business Outlook,Share,Great benefits for the future.,Work life balance can be difficult.
xx,"May 27, 2021 ",5.0,Current, Manager Consultant,,Recommend,Business Outlook,Share,love working for this company,need to pay higher salaries
PwC,"May 27, 2021 ",4.0,Former, Manager,,Recommend,Business Outlook,Share,Strong group of young professionals,Pay vs hours worked was disproportional
Great,"May 26, 2021 ",4.0,Current, Manager,,Recommend,Business Outlook,Share,"lots of smart, talented people and opportunities",Some can be bone crushers
Mixed feeling,"Jun 16, 2021 ",3.0,Current, Anonymous Employee,,Recommend,Business Outlook,Share,All partners I worked with are smart and nice people and you gained a ton of experience by working with them directly.,"Besides the long working hours, most talented people left the firm without any hesitation and you might be working with people who has cognitive ability issues."
Associate,"May 25, 2021 ",4.0,Current, Associate,,Recommend,Business Outlook,Share,Boundless opportunities and emphasis on QOL,Long working hours and high stress environment
Review,"May 24, 2021 ",5.0,Former, Associate,,Recommend,Business Outlook,Share,Good place to start career from,None that I can think of now
PwC pay,"May 24, 2021 ",4.0,Current, Senior Associate,,Recommend,Business Outlook,Share,Great flexibility and opportunities to learn.,Pay is not great for work load.
Na,"Aug 5, 2021 ",1.0,Current, Partner,,Recommend,Business Outlook,Share,"High pay, flexible, prestigious and challenging",Nothing at this time to report
Great Company to work,"May 17, 2021 ",5.0,Current, Actuarial Associate,,Recommend,Business Outlook,Share,Very bright and smart people that you can work with!,Long working hours for the busy season
A challenging workplace that allows you to learn and grow.,"Mar 12, 2021 ",5.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,The challenging environment has propelled me to learn more about myself and the environment around and I have been encouraged to adapt and grow while equipping myself with new skill sets in digital assets and technical financial and accounting concepts.,Busy seasons vary and it is hard to get time with family for 2 months or so of the year. But that makes sense and cyclical busy environments are a part of every job.
"Good perks, decent benefits, busy season for 4-6 months, easy to grow in your career","Apr 22, 2021 ",4.0,Current, Senior Associate,,Recommend,Business Outlook,Share,clear guidance on what you need to succeed; perks like days off and unlimited sick days,"salary could be more competitive, but they make it almost bearable with days off and perks"
Good Place to Work - Low Compensation,"Apr 22, 2021 ",5.0,Current, Associate,,Recommend,Business Outlook,Share,"Everything you want from a firm, PwC offers. Great clients, interesting projects, different tasks and a lot of training.",Poor compensation that is not competitive even with smaller firms.
Great company,"May 6, 2021 ",5.0,Current, Assurance Senior Manager,,Recommend,Business Outlook,Share,Hardworking culture and best place to start your accounting career,"The firm has been improving in work-life balance over the past few years, but still has some room for improvement"
Ideal employer to start your career.,"May 19, 2021 ",5.0,Former, Senior Associate,,Recommend,Business Outlook,Share,"Good platform, diverse working environment",Hours in peak season might be terrrible
Love it,"May 19, 2021 ",5.0,Current, Associate,,Recommend,Business Outlook,Share,One of the best accounting firms,Can be a lot of work during busy tax season
Pro's and cons,"Jun 23, 2021 ",3.0,Current, Manager,,Recommend,Business Outlook,Share,They treat you pretty well and you're averagely compensated. They're quite flexible In work arrangements. Offer great paid time off.,There are little to no opportunities for growth within the firm. Especially if you like your department/industry.
PwC,"May 25, 2021 ",5.0,Current, Associate,,Recommend,Business Outlook,Share,Great place to work at,Nothing comes to mind currently
Good experience,"May 24, 2021 ",5.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,Good working experience and platform,Extremely busy during busy season
PwC,"May 23, 2021 ",4.0,Current, Senior Tax Manager,,Recommend,Business Outlook,Share,Growth potential if you follow a good partner.,Long hours. No work/life balance.
Alright,"Jul 12, 2021 ",3.0,Current, Tax Associate,,Recommend,Business Outlook,Share,Good first job out of school.,Company has high turnover and burnout.
Great Place to Start,"Mar 31, 2021 ",4.0,Former, Senior Assurance Associate,,Recommend,Business Outlook,Share,-Work with SO many people -Access to the best research and information for your job -Continuously learning -So much opportunity to get involved through volunteering/different interest groups at the firm -Beautiful office,The hours just don't get better year after year and are LONG - not the most sustainable option for everyone but still a great place to get your first experience out of college
Great opportunity and growth,"Apr 1, 2021 ",4.0,Former, Manager,,Recommend,Business Outlook,Share,"A high-energy workplace where you’re surrounded by smart, driven peers. Significant opportunities for client interaction and professional growth. Interesting project work for major clients.",Lots of hours and management seems to not care a ton about work-life balance. Can be stressful to manage multiple competing priorities as each partner wants their work prioritized.
good place to work,"May 14, 2021 ",4.0,Current, Manager,,Recommend,Business Outlook,Share,good brand name; have the kool aid and chugg through,siloed and sometmes you can be boxed very quickly
PwC Review,"Apr 20, 2021 ",4.0,Current, Associate,,Recommend,Business Outlook,Share,PwC is a great company with lots of opportunity to grow and learn from some of the smartest folks out there. Great opportunities to get involved with the community at large,Definitely gets busy and you can expect to work a lot in busy season
Good place to work; good values,"May 20, 2021 ",4.0,Current, Learning Architect,,Recommend,Business Outlook,Share,"Benefits, culture, strategy, diversity, inclusion","Succession planning, too big, politics"
"Excellent firm, high demand","May 11, 2021 ",4.0,Current, Senior Client Strategist,,Recommend,Business Outlook,Share,"Excellent brand, decent benefits, increased work life balance",Pay leaves much to be desired
it was ok,"Jul 12, 2021 ",3.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,good experience on a resume,it like really really sucks
"Work Hard, Play hard","May 4, 2021 ",4.0,Current," Manager, Financial Due Diligence",,Recommend,Business Outlook,Share,"Exposure to a variety of industries, lots of smart and motivated people, relatively fixed promotion track, leadership experience at a relatively young age.","Long hours, tough client deadlines."
Very difficult place to work,"Mar 8, 2021 ",2.0,Former, Associate Consultant,,Recommend,Business Outlook,Share,"If you find a good team or manager or partner to work with, then you will be ok. The company has some great people.","If you get stuck with bad managers or a bad team, they will blame it on you and make it your fault. The way the company works is you are ranked based on how much work you do, except you have to find the work yourself. LOTS of politics involved that aren't in your control."
Great place to start your career,"Feb 12, 2021 ",4.0,Current, Experienced Assurance Associate,,Recommend,Business Outlook,Share,"Amazing, hard working people. You'll learn more in your first couple years than your peers will learn in 5+ years. More free time and flexibility in the summer/fall after busy season. Opportunities to manage others early in your career. One of the few companies that didn't have to let anyone go during covid and still managed to give us raises. Very pleased I started my career here.","Busy season hours can be very long, although I have gotten lucky before and had a few 40 hour weeks. Not a place I plan on staying for more than 3 years."
You take away a lot from this job.,"Feb 4, 2021 ",5.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,"You learn every day, and develop as a professional very quickly. You have almost unlimited amount of resources at your hand to become very knowledgeable over your testing areas.","Steep learning curve can be frustrating at times. However, if you have the mentality of just wanting to be better every day and you prove that, this con will be nearly fully mitigated. I won't say anything about hours or pay, because it is very standard across the industry and wouldn't be fair to criticize PwC because I believe you should get more for working 60+ hours 3-4 months of the year."
PwC,"Apr 5, 2021 ",5.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,- work with really smart people - good benefits when in office - rare opportunity to start with hundreds of people similar in age and place in life - good hours outside of busy season,"- pay - hours can be brutal - engagements are under staffed, deadlines are strict, leading to brutal hours noted above"
Good place to work,"May 20, 2021 ",4.0,Current, Audit Associate,,Recommend,Business Outlook,Share,Brilliant people and meaningful work,Long hours during busy season
Amazing place to work,"May 15, 2021 ",5.0,Current, Analytics Manager,,Recommend,Business Outlook,Share,"Great growth opportunities, flexibility and work life balance",None that I see so far
Great company to work for!,"May 14, 2021 ",5.0,Current, Sourcing Senior Associate,,Recommend,Business Outlook,Share,"benefits, good culture, good leadership",pay was lower than expected when getting promoted internally
Recommend,"Jul 12, 2021 ",3.0,Current, Audit Associate,,Recommend,Business Outlook,Share,Love the staff and culture,Don’t like the assigned hours
Great company - low pay,"Mar 25, 2021 ",5.0,Current, Experienced Audit Associate,,Recommend,Business Outlook,Share,IMO probably the best big 4 company to work for. Had a wonderful experience at PWC. Great people. Great experience. Flexible work environment. Admirable COVID response.,Fairly frustrating that you’re being paid so little yet the management expects so much from you regarding time commitment and performance. Meanwhile everyone goes around saying “It’ll pay off later at higher levels”.
The people make or break your experience,"Jun 9, 2021 ",3.0,Current, Senior Associate Consultant,,Recommend,Business Outlook,Share,"Company that hires great people (for the most part). When the job or project may not be the best, the team helps get you through.","This company has great values and we hear great messaging from leadership, but it's not the reality of the day-to-day."
Good starting place,"May 16, 2021 ",4.0,Current, Senior Assurance Associate,,Recommend,Business Outlook,Share,-young culture -variety in clients -regular bonuses/raises,-long hours -few opportunities for breaks -always expected to be responsive
"Good Experience, Touch Culture","Jun 30, 2021 ",3.0,Current, Senior Associate,,Recommend,Business Outlook,Share,"Working with the best of the best, a lot of resources at your fingertips","Workaholic culture, demanding, salaries could be much better"
"Great flexibility and pay, challenging work","May 13, 2021 ",5.0,Current, Senior Manager,,Recommend,Business Outlook,Share,"Great flexibility and pay, challenging work",Can be difficult to strike work/life balance
Great place to work!,"May 11, 2021 ",4.0,Current, Experienced Audit Associate,,Recommend,Business Outlook,Share,"No day is the same, good time off and bonuses","Long hours, travel is necessary for some positions"
Terrific place,"May 7, 2021 ",4.0,Current, Technologist,,Recommend,Business Outlook,Share,"vast resources allowing building a network of human, business and technological resources",large global org that may take some time getting up to speed
Amazing place to work at,"May 7, 2021 ",5.0,Current, Management Consultant Associate,,Recommend,Business Outlook,Share,Friendly and forward thinking environment full of career growth opportunities,low salaries in AC offices such as Tampa and Columbia.
Amazing group of people,"May 4, 2021 ",5.0,Current, Senior Manager,,Recommend,Business Outlook,Share,- care about their people - interesting and evolving projects,- utilization always tracked - work life balance can be difficult
Unsupportive of new hires,"Jul 8, 2021 ",3.0,Current, Anonymous Employee,,Recommend,Business Outlook,Share,Flexible WOrk from home Salary is decent,Cliquey Unsupportive Long hours Boys club
"Long hours, good experience","Jul 1, 2021 ",3.0,Former, Audit Senior Associate,,Recommend,Business Outlook,Share,Big four experience is always good to help you learn and grow,"Long hours, underpaid, understaffed, lack of coaching help"
Great place to learn and grow a career,"Feb 23, 2021 ",5.0,Former, Manager,,Recommend,Business Outlook,Share,"I would recommend to anyone to stay until manager. If you do, you can leave the firm at a much higher level going into industry and being a manager is significantly better than being a senior.","Long hours, travel at the last minute"
Assurance Associate,"Apr 15, 2021 ",4.0,Current, PwC Assurance Associate,,Recommend,Business Outlook,Share,"-Fun to work with a lot of people around your age -Great place to start career, make connections and learn -Top quality audit firm, advanced tools",-Poor work/life balance -Isn't significant recognition/compensation for standout employees -Working from home eliminates majority of the positive social aspects of the company
Great experience and team,"May 14, 2021 ",5.0,Current, Tax Associate,,Recommend,Business Outlook,Share,Good learning experience. Great team.,Busy Season can be a bit much.
Little Fish Big Pond,"Apr 19, 2021 ",4.0,Current, Experienced Assurance Associate,,Recommend,Business Outlook,Share,"Great benefits and opportunities, Networking, Resume builder, Exposure to difference types of accounting.","Overworked, too much based on politics, no guidance, underpaid"
PwC culture,"Jun 11, 2021 ",1.0,Current, Associate,,Recommend,Business Outlook,Share,The clients are among the best and the experience is respected.,There is no coaching and the mentoring program was terrible. Their culture is very cut throat and no one knows anyones name. The corporate culture communicated from the top is completely opposite from the truth. There is no work life balance. Plan on working 70-100 hrs a week in order to be successful.
You know what you're getting,"Apr 26, 2021 ",4.0,Former, Associate,,Recommend,Business Outlook,Share,"Opportunities both in and outside the firm, benefits to enhance lifestyle, morale, and community you won't find outside public accounting","Very intense hours, comp is standardized at the staff levels"
Good place to work,"May 4, 2021 ",4.0,Current, Associate,,Recommend,Business Outlook,Share,1. Good benefits 2. Colleagues willing to teach,1. Long working hours during busy season 2. Need to be active to find works by yourself
"Fun team, too little pay for how long you work.","Jun 22, 2021 ",3.0,Former, Senior Associate,,Recommend,Business Outlook,Share,"Fun team and you do a lot of fun activities, happy hours, etc.",You work way too much and get paid very little.
Good company,"May 11, 2021 ",4.0,Current, Experienced Associate,,Recommend,Business Outlook,Share,good people around you and chance to learn digital tools,busy hours and not so good compensation
Work culture,"Jul 3, 2021 ",3.0,Current, Audit Senior Associate,,Recommend,Business Outlook,Share,Challenging assignments provide good exposure for developing soft skills,Extra long hours are not healthy for employees
Great flexibility but wish pay was more,"May 10, 2021 ",4.0,Current, Senior Associate,,Recommend,Business Outlook,Share,"Flexibility, benefits, healthcare, working in teams, great technology","Pay is lower, long hours"
Great place to learn about tax,"May 5, 2021 ",4.0,Current, Tax Associate,,Recommend,Business Outlook,Share,"Opportunity to work with smart people, and opportunity to deepen tax knowledge",You should expect to work long hours
Work and Life,"Jun 29, 2021 ",3.0,Former, Associate,,Recommend,Business Outlook,Share,you would have lots opportunities outside of the company and you can leave at anytime,pay low and work long hours
Okay,"May 20, 2021 ",2.0,Current, Experienced Audit Associate,,Recommend,Business Outlook,Share,Great people and corporate responsibility. Well built system,"Brutal hours. Tech issues due to bloat. Pushing overseas model that is useful, but is causing lots of problems. Excessive expectations. Too much non work requirements. Push unrealistic deadlines. Benefits and pay are good, but is not equitable at all to the amount of work you do."
good,"May 17, 2021 ",5.0,Current, Associate,,Recommend,Business Outlook,Share,Great work environment and people,long hours and stressful work
PwC was great but PwC Law wasn't,"Jun 18, 2021 ",2.0,Former, Business Immigration Attorney,,Recommend,Business Outlook,Share,PwC is a highly reputable organization with competitive pay and benefits. The regular PwC management (Tax and Audit) were friendly and supportive.,The specific management of PwC Law was extremely poor.
Busy Season,"Jul 7, 2021 ",3.0,Former, Auditor,,Recommend,Business Outlook,Share,People are very welcoming and nice,The hours are very rough
great place to grow,"May 13, 2021 ",5.0,Former, Assurance Senior Associate,,Recommend,Business Outlook,Share,"Complex Work, Fast learning, structured promotions","long hours, slow compensation scale"
#1 Tax Practice in the World (Literally),"Apr 21, 2021 ",5.0,Current, Tax Associate,,Recommend,Business Outlook,Share,"PwC provides first-rate training, develops and invests in their people, and provides ample growth and professional development opportunities.",Work/Life balance can be difficult to maintain -- especially during busy season.
Solid Employer,"May 10, 2021 ",4.0,Current, Senior Associate,,Recommend,Business Outlook,Share,"Good resources, solid training, high profile clients, diverse work","Internal politics, lack of meritocracy, limited career freedom"
Great career booster,"Apr 22, 2021 ",4.0,Former, Director,,Recommend,Business Outlook,Share,"Great people, experience and career opportunities although most of those are not within the the firm (industry, jumping to other firms, etc...)","limited mobility, travel, must be self-starter (which could be a pro also)"
great,"May 4, 2021 ",5.0,Current, International Tax Manager,,Recommend,Business Outlook,Share,PwC has great flexibility with their employees.,You'll probably work long hours and weekends but at your discretion when to do it.
"Great culture, but limited growth past a certain point","May 5, 2021 ",4.0,Current, Senior Manager,,Recommend,Business Outlook,Share,- good partners - interesting work,- long hours and even longer grind to the top
Good experience,"May 16, 2021 ",4.0,Former, Anonymous Employee,,Recommend,Business Outlook,Share,Looks great on your resume,Periods of long work hours
"Director, Advisory","May 15, 2021 ",5.0,Current, Director,,Recommend,Business Outlook,Share,Pwc has a Great Culture,Employees typically work Long Hours
Great Non-Busy Season,"Apr 18, 2021 ",4.0,Current, Tax Senior Associate,,Recommend,Business Outlook,Share,"Company is generally great towards employees, autonomy within job, fulfilling/interesting work","Occasional long work hours and stressful environment, opportunities to expand knowledge/shift positions are limited"
Great place to work!,"May 3, 2021 ",5.0,Former, Tax Intern,,Recommend,Business Outlook,Share,Amazing people who are dedicated to what they do!,The hours can be long but that’s expected in public accounting.
PwC,"May 12, 2021 ",4.0,Current, Senior Associate,,Recommend,Business Outlook,Share,Digital up skilling is a huge focus,Work life balance is project dependent
Senior Tax Associate,"May 12, 2021 ",4.0,Current, Senior Tax Associate,,Recommend,Business Outlook,Share,good brand name and career opportunity,working long hours is con
Constant growth,"May 13, 2021 ",5.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,"Constant growth, learning opportunities, awesome coworkers","Long Hours, and low pay"
Great workplace,"May 13, 2021 ",5.0,Current, Senior Associate,,Recommend,Business Outlook,Share,I am on a great team,There are none so far
Good place to grow,"May 12, 2021 ",5.0,Current, Senior Associate,,Recommend,Business Outlook,Share,Learning opportunities at PwC tax.,"Wlb, compensation is relatively low."
Challenging but rewarding,"May 11, 2021 ",4.0,Current, Consultant,,Recommend,Business Outlook,Share,People Learning and development Support Good juniors and cohort,Fixed pay structure Long hours
Love it,"May 11, 2021 ",5.0,Current, Anonymous Employee,,Recommend,Business Outlook,Share,I enjoy my team and the work,Constant reorganizing and complex internal structure
My 3 year experience,"May 11, 2021 ",5.0,Current, Senior Associate,,Recommend,Business Outlook,Share,The people you work with,The hours are terrible at time
Wonderful people,"May 7, 2021 ",5.0,Current, Tax Associate,,Recommend,Business Outlook,Share,Great clients and bright people to learn from,"A lot of hours, especially in peak busy season"
Good platform to start a career,"May 5, 2021 ",5.0,Current, Senior Associate,,Recommend,Business Outlook,Share,Faster progression to management roles than industry,Progression at the higher can be very political
good,"Jul 5, 2021 ",3.0,Current, Analyst,,Recommend,Business Outlook,Share,i enjoy it quite a lot,i work with some dumb people
"Great place to be if you enjoy a structured, competitive environment","Jan 11, 2021 ",4.0,Former, Senior Associate,,Recommend,Business Outlook,Share,"Solid organizational infrastructure, room to grow and build a career, smart and hard-working colleagues.","Big 4 culture is pretty stereotypical and well-known. You will work a lot. The hours will be long. Everyone else around you will be working a lot, and this never changes as you move up the ladder, so you have to be prepared to make the job the primary focus of your life. They're actively trying to promote work-life balance, and doing a decent job, but the culture is so ingrained at this point that it will never be a relaxed 9-5 type of environment."
Great place to work,"Mar 30, 2021 ",5.0,Current, Director,,Recommend,Business Outlook,Share,- Still a partnership not driven by quarterly targets - Good culture if you get in the right group - large bonus payouts for top performance,"- SEC Independence restrictions that impact all the big 4 - Advisory is still a mish-mash of legacy companies (Booz, PRTM, Diamond, Bearing Point, etc) which remains cliquish"
Amazing internship,"Apr 14, 2021 ",5.0,Former, Intern,,Recommend,Business Outlook,Share,"PwC knows that their biggest assets are their people. They make sure to take care of everyone, even the interns.",They give people the freedom to make their own career. This can be a little unnerving at first.
"Alot of hours, Good Experience","Jun 22, 2021 ",3.0,Current, Audit Senior Associate,,Recommend,Business Outlook,Share,Co-workers are brilliant. You will work with some of the smartest people in the industry.,The hours since shifting to WFH have been attrocious.
Great place to work,"May 7, 2021 ",5.0,Current, Senior Delivery Manager,,Recommend,Business Outlook,Share,"Culture, inclusion, quality first, flexible work",None to speak of - 10/10 would recommend
Assurance Associate,"May 6, 2021 ",4.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,Great place to start career,"The firm is understaffed, and uncertainty on if this will change in future."
Love the job,"May 3, 2021 ",5.0,Current, Senior Associate S2A,,Recommend,Business Outlook,Share,"Great salary, great perks, great projects, great opportunities","long hours, not always the pick of the litter for projects"
Great platform for young professionals,"Apr 30, 2021 ",4.0,Former, Anonymous Employee,,Recommend,Business Outlook,Share,Great exposure to various industries and clients.,Could get specialized too quickly for people who want to explore different career path
Great Resume Builder,"Jul 1, 2021 ",3.0,Current, Senior Associate,,Recommend,Business Outlook,Share,Great Resume Builder For early in your career,So many hours every day
"Excellent Benefits, Above Average Pay, Time Reporting/Utilization is a Pain, People Are Cruel","Nov 19, 2020 ",3.0,Former," Senior Associate, Transfer Pricing",,Recommend,Business Outlook,Share,"Training (pretty amazing the training you can do while getting paid); Travel/Transfer opportunities (if you initiate and fight for them); Benefits (especially parental leave, HSA options, phone/technology, and retirement - the BEST benefits package I've seen anywhere I've worked); Pay (above average); Flexibility with arrival and departure time to/from the office (as long as you get your work done)",Reporting every 6 minutes of the day is beyond stressful and adds at least 1 hour of busywork each day; Utilization Rates are also beyond stressful and really drive home that feeling of uselessness as a human being on this planet; Middle and upper-middle management is cruel
PwC Review,"Apr 13, 2021 ",5.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,People are nice and hours outside of busy season aren't bad. Good exposure to upper management at client and variety of experience.,Pay is not ideal and busy season hours can be a lot.
Great,"May 12, 2021 ",5.0,Current, Senior Manager,,Recommend,Business Outlook,Share,Great great great great great,Nothing nothing nothing nothing nothing
Dont let it consume you,"May 11, 2021 ",3.0,Current, Forensic Technology Associate,,Recommend,Business Outlook,Share,"The Pros aside from networking and building relationships, it would be the consultant benefits (constant gratification) . The firm does have many resources their employees can leverage and benefit from.","High demands, not worth the pay. They say be well, work well but in reality, there is no such thing as be well or work well in a client facing job."
Excellent,"May 11, 2021 ",5.0,Current, Associate,,Recommend,Business Outlook,Share,Lot's of learning opportunities available.,Can be long hours and quite stressful.
No thanks,"May 11, 2021 ",5.0,Current, Senior Associate,,Recommend,Business Outlook,Share,The people are pretty great,There is a lot of work
Great People,"May 10, 2021 ",5.0,Current, Tax Accountant,,Recommend,Business Outlook,Share,"Love the people, everyone is nice",busy season hours are very long
Top notch opportunities,"May 8, 2021 ",5.0,Current, Director,,Recommend,Business Outlook,Share,"Interesting projects, collegial atmosphere, fantastic opportunities.","Long hours, intense, lots of admin"
Public Accounting - Bad and Getting Worse,"Apr 24, 2021 ",2.0,Former, Experienced Associate,,Recommend,Business Outlook,Share,There is a five word minimum here. This is what I have to say about PwC pros:,"Busy season is no longer a thing--it's just the year-round experience. PwC continues to expand it's client base but does not proportionally increase staff, so current employees will continue to be stretched increasingly more thin until they quit. They will also not compensate for the additional work required to keep your job, but expect to be working 70-80 hour weeks in the summer and 100+ during peak audit/quarter times."
Good Benefits,"May 4, 2021 ",5.0,Current, Anonymous Employee,,Recommend,Business Outlook,Share,"Work life balance, good vacation balance and holidays, awesome tech stack","As an entry level, start off low"
Deals Experience Assosicate,"Feb 17, 2021 ",5.0,Current, Advisory Experienced Associate,,Recommend,Business Outlook,Share,"Amazing place to work. Gain a lot of knowledge and skills. The 95% of the culture is fantastic. Very progressive company with great executive leadership that cares about their staff. Incredibly diverse and a lot of investment is made to ensure Black, Hispanic, and other groups are supported and connected.",Pay can push away great talent System for promotion review can be very biased Career does not progress relative to overtime hours. You will not feel like it was worth stressing yourself by taking on initiatives and projects.
Opportunity,"May 12, 2021 ",4.0,Former, Senior Manager,,Recommend,Business Outlook,Share,"Dynamic work environment, opportunity to learn",peaks - lots of hours
Great place to learn and grow!,"Apr 20, 2021 ",5.0,Current, Senior Associate,,Recommend,Business Outlook,Share,Opportunity and encouragement to digitally upskill quickly and get rewarded. Diverse and inclusive workplace. Lots of opportunities for upward mobility.,Following a corporate ladder to move up
Great company,"May 9, 2021 ",4.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,The people are what make the experience,Pretty low compensation for industry
Solid Shop,"May 9, 2021 ",5.0,Current, Anonymous Employee,,Recommend,Business Outlook,Share,Strong leadership open to change,Cutthroat to get into the best circles
It's a good start,"Apr 23, 2021 ",4.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,"In assurance, you learn a lot about client management and operations of businesses through audit of companies",Leadership doesn't really mean what they say
Demanding but rewarding,"Jun 28, 2021 ",3.0,Current, Core Tax Associate,,Recommend,Business Outlook,Share,-Incredibly long hours -Low base salary,-Large increases in salary year over year if you stick around
Cool job until all you do is work,"Apr 9, 2021 ",4.0,Current, Experienced Associate ,,Recommend,Business Outlook,Share,"In-person and travel perks were good, nice random bonuses, smart people, cool projects","Work life balance is not great, when I'm able to take vacation it's almost always interrupted. Teams are understaffed and burnout is high"
PwC,"May 12, 2021 ",4.0,Current, Director,,Recommend,Business Outlook,Share,Stable work with big clients,"Too many layers, slow career"
cool job,"May 11, 2021 ",4.0,Current, Associate,,Recommend,Business Outlook,Share,"Great people, career progression, enablement","Work life balance, Monotonous, utilization"
"Great learning, rigorous hours, less pay","May 10, 2021 ",3.0,Current, Senior Associate ,,Recommend,Business Outlook,Share,"- Great leadership - Amazing learning experience - Project leadership experience - Learn latest techs, know what companies are doing",- Rigorous working hours depending on the team - Unfair appraisal system for people working on hard projects - Focus on additional work on top of client work even if you are working 12-14 hours on client - Less pay. I have people doing half of my work and earning double in other companies -
Normal Big 4,"Apr 26, 2021 ",4.0,Former, Tax Associate,,Recommend,Business Outlook,Share,Lots of opportunities to work on a lot of projects.,This locations was particularly understaff which made the job that much harder. Long hours
Stepping stone,"Jun 29, 2021 ",3.0,Current, Associate,,Recommend,Business Outlook,Share,"Great learning opportunities, coworkers are always young and bright.",High stress little work like balance.
Underpaid and overworked,"Jun 29, 2021 ",3.0,Current, Anonymous Employee,,Recommend,Business Outlook,Share,Accelerated learning and promotions are predictable.,Don't get paid enough for the time worked.
Management Consulting - Finance,"Apr 27, 2021 ",5.0,Current, Senior Consultant,,Recommend,Business Outlook,Share,Strong pay growth Exposure to high profile clients,"Work can be thankless Not all work has rigor/complexity, sometimes serving as a glorified PM"
PwC Review,"Apr 29, 2021 ",4.0,Former, Assurance Associate,,Recommend,Business Outlook,Share,"Fast-paced, learn a lot, will pay for Becker CPA study program","Work life balance, your team can make or break your experience"
